순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수
603,9027376,패턴 랭귀지,https://www.yes24.com/product/goods/9027376,"크리스토퍼 알렉산더, 사라 이시가와, 머레이 실버스타인 공저 / 이용근, 양시관, 이수빈 공역",인사이트(insight),2013년 07월,"36,000","40,000",10%,"1,704"
604,8450055,신나고 재미있는 타자연습장,https://www.yes24.com/product/goods/8450055,웰북교재연구회,웰북,2013년 02월,"6,300","7,000",10%,216
605,6430831,좋아 보이는 것들의 비밀 Good Design 굿 디자인,https://www.yes24.com/product/goods/6430831,최경원,길벗,2012년 03월,"19,800","22,000",10%,882
606,4246457,개발자도 알아야할 소프트웨어 테스팅 실무,https://www.yes24.com/product/goods/4246457,"권원일, 이현주, 최승희, 이승호, 박은영, 조현길 공",STA(소프트웨어테스팅연구소),2010년 09월,"26,600","28,000",5%,"1,002"
607,3423280,데이타베이스 시스템,https://www.yes24.com/product/goods/3423280,이석호,정익사,2014년 08월,"34,200","36,000",5%,"1,104"
608,189829859,AI 이해력,https://www.yes24.com/product/goods/189829859,박민경,로드북,2026년 05월,"22,500","25,000",10%,522
609,192695534,AI와 화학제품 독성 예측,https://www.yes24.com/product/goods/192695534,서명원,커뮤니케이션북스,2026년 07월,"12,000","12,000",,120
610,192038123,AI 에이전트와 애플리케이션,https://www.yes24.com/product/goods/192038123,로베르토 인판테 저/이병욱 역,에이콘출판사,2026년 06월,"36,000","40,000",10%,396
611,191818663,누구나 이해하는 클라우드 인프라 지식 사전,https://www.yes24.com/product/goods/191818663,바바 도시아키 저/김완섭 역,한빛미디어,2026년 06월,"29,700","33,000",10%,648
612,191697558,LUVIT♥ EPL과 유튜브 데이터로 배우는 DuckDB,https://www.yes24.com/product/goods/191697558,이기준,제이펍,2026년 06월,"27,000","30,000",10%,312
613,182256559,"하루 30분, 나는 제미나이로 돈을 번다",https://www.yes24.com/product/goods/182256559,김민규,한빛미디어,2026년 03월,"17,100","19,000",10%,"2,454"
614,181123366,"로봇, 그리고 로봇을 사랑하는 사람들",https://www.yes24.com/product/goods/181123366,이브 헤롤드 저/김창규 역,현암사,2026년 03월,"18,000","20,000",10%,396
615,179606150,코딩으로 피어나는 스마트팜 with 인공지능,https://www.yes24.com/product/goods/179606150,"표정완, 장원규",딩코랩,2026년 02월,"20,900","22,000",5%,234
616,178728857,멘토시리즈 진짜 포토샵+with AI,https://www.yes24.com/product/goods/178728857,코리아교육그룹 연구소,코리아교육그룹,2026년 01월,"25,200","28,000",10%,594
617,173202173,라즈베리파이로 만드는 인공지능과 사물인터넷,https://www.yes24.com/product/goods/173202173,장문철,먼슬리북스,2026년 03월,"20,250","22,500",10%,408
618,173200410,ChatGPT와 아두이노로 만드는 AI 음성비서,https://www.yes24.com/product/goods/173200410,장문철,먼슬리북스,2026년 01월,"17,550","19,500",10%,318
619,148562901,노션 템플릿 상점,https://www.yes24.com/product/goods/148562901,Rei 저/노슈니 감수,길벗,2025년 07월,"19,800","22,000",10%,"7,716"
620,146492205,이게 되네? 챗GPT 미친 기획 X 마케팅 59제,https://www.yes24.com/product/goods/146492205,"이나현, 황성민",골든래빗,2025년 06월,"23,400","26,000",10%,"3,630"
621,136883319,나는 해외구매대행으로 한 달에 월급을 두 번 받는다,https://www.yes24.com/product/goods/136883319,제노,위키북스,2024년 11월,"21,600","24,000",10%,"1,380"
622,193689833,대치동 엄마들도 모르는 AI 활용법 2,https://www.yes24.com/product/goods/193689833,"이종구, 이정화, 김찬곤, 한금화, 도윤서 저 외 4명
                                        
정보 더 보기/감추기



이종구
이정화
김찬곤
한금화
도윤서
오지성
조현주
배은영(밸라쌤)
박찬두",디지털콘텐츠그룹,2026년 07월,"24,300","27,000",10%,60
623,193689689,대치동 엄마들도 모르는 AI 활용법 1,https://www.yes24.com/product/goods/193689689,"박찬두, 배은영(밸라쌤), 조현주, 오지성, 도윤서 저 외 4명
                                        
정보 더 보기/감추기



박찬두
배은영(밸라쌤)
조현주
오지성
도윤서
한금화
김찬곤
이정화
이종구",디지털콘텐츠그룹,2026년 07월,"19,800","22,000",10%,60
624,193592364,나는 AI 에이전트 팀과 일한다,https://www.yes24.com/product/goods/193592364,박현아,제이펍,2026년 07월,"23,400","26,000",10%,60
625,193448341,AI와 라이프 아크 (큰글자책),https://www.yes24.com/product/goods/193448341,노유진,커뮤니케이션북스,2026년 07월,"25,000","25,000",,60
626,193448339,AI 창업 퍼실리테이터 (큰글자책),https://www.yes24.com/product/goods/193448339,"이명관, 박상혁",커뮤니케이션북스,2026년 07월,"25,000","25,000",,60
627,193072404,AI 리터러시 수업,https://www.yes24.com/product/goods/193072404,배장섭,어가,2026년 07월,"20,000","20,000",,120
628,193061798,AI 시대의 재난 현장 (큰글자책),https://www.yes24.com/product/goods/193061798,이대호,커뮤니케이션북스,2026년 07월,"25,000","25,000",,90
629,193051840,AI와 사회정서학습,https://www.yes24.com/product/goods/193051840,최철웅,커뮤니케이션북스,2026년 07월,"12,000","12,000",,60
630,193051838,인간지능 : AI의 협업과 소버린 AI,https://www.yes24.com/product/goods/193051838,"이헌구, 이동일",커뮤니케이션북스,2026년 07월,"12,000","12,000",,60
631,193050142,2026 챗GPT 업무 활용 마스터,https://www.yes24.com/product/goods/193050142,강승우,삼일인포마인,2026년 07월,"20,000","20,000",,60
632,192978021,AI 에이전트로 만드는 멀티미디어 전자책,https://www.yes24.com/product/goods/192978021,황원판,BOOKK(부크크),2026년 06월,"34,000","34,000",,102
633,192871544,"AI 시대, 방송콘텐츠 교육",https://www.yes24.com/product/goods/192871544,"박민서, 이승현",커뮤니케이션북스,2026년 07월,"12,000","12,000",,60
634,192735146,우분투 리눅스,https://www.yes24.com/product/goods/192735146,이종원,한빛아카데미,2026년 06월,"35,000","35,000",,60
635,192630667,AI도 모르는 글쓰기: 초안을 완성으로 바꾸는 AI 협업 글쓰기,https://www.yes24.com/product/goods/192630667,정나래,한빛미디어,2026년 06월,"19,800","22,000",10%,942
636,192557879,유아 놀이와 AI 교육,https://www.yes24.com/product/goods/192557879,최수연,커뮤니케이션북스,2026년 06월,"12,000","12,000",,144
637,192498869,목회사역 AI 프롬프트 모음집,https://www.yes24.com/product/goods/192498869,이희준,BOOKK(부크크),2026년 06월,"18,000","18,000",,162
638,192491769,윈도우 포렌식 수사,https://www.yes24.com/product/goods/192491769,이승무,(주)박영사,2026년 06월,"42,000","42,000",,522
639,192470749,디지털 혁신을 이끄는 정보화전략계획 (ISP),https://www.yes24.com/product/goods/192470749,이장영,좋은땅,2026년 06월,"58,500","65,000",10%,186
640,192300987,문구의 세계,https://www.yes24.com/product/goods/192300987,"문구 제조사 노우토,  타카기 요시노리 저/고영자 역",영진닷컴,2026년 06월,"18,000","20,000",10%,459
641,192207269,챗GPT와 제미나이 그리고 AI 숏폼 동영상 제작과 활용법의 인공지능 입문 실무 업무 자동화 왕초보 입문 3종 패키지,https://www.yes24.com/product/goods/192207269,액션미디어 편집부,액션미디어,2026년 06월,"49,800","49,800",,186
642,192123866,공간 컴퓨팅: XR 인터랙션 디자인,https://www.yes24.com/product/goods/192123866,박동윤,에이콘출판사,2026년 06월,"30,600","34,000",10%,396
643,192090565,중소기업의 AI 활용 실무,https://www.yes24.com/product/goods/192090565,배용일,BOOKK(부크크),2026년 06월,"24,000","24,000",,102
644,192090475,비전공자를 위한 클라우드 컴퓨팅,https://www.yes24.com/product/goods/192090475,백지석,BOOKK(부크크),2026년 06월,"21,000","21,000",,102
645,192021270,디자이너를 위한 AI 디자인 크리에이티브 아트워크,https://www.yes24.com/product/goods/192021270,정승용,제이펍,2026년 06월,"22,500","25,000",10%,459
646,191937826,스마트폰 완벽 가이드 (2026최신판),https://www.yes24.com/product/goods/191937826,최신만,디지털콘텐츠그룹,2026년 06월,"18,000","20,000",10%,312
647,191890613,지방의정 AI로 혁신하라,https://www.yes24.com/product/goods/191890613,원성묵,새빛,2026년 06월,"18,000","20,000",10%,873
648,191852992,AX 에이전트 경영,https://www.yes24.com/product/goods/191852992,황영오,미디어북,2026년 05월,"24,000","24,000",,543
649,191547374,AI와 기독교 교육,https://www.yes24.com/product/goods/191547374,이성아,커뮤니케이션북스,2026년 06월,"12,000","12,000",,102
650,191543351,AI를 길들이는 법,https://www.yes24.com/product/goods/191543351,장의웅,BOOKK(부크크),2026년 06월,"17,300","17,300",,72
651,191534262,처음이지만 프로처럼 쓰는 n8n,https://www.yes24.com/product/goods/191534262,곽지호(단테),디지털북스,2026년 06월,"29,700","33,000",10%,240
652,191303626,스마트폰으로 배우는 챗GPT & 생성형 AI,https://www.yes24.com/product/goods/191303626,안은진,아티오,2026년 06월,"13,500","15,000",10%,348
653,191021061,여보! 코딩은 바이브야!,https://www.yes24.com/product/goods/191021061,김응,BOOKK(부크크),2026년 06월,"19,500","19,500",,210
654,190877794,예제가 가득한 챗GPT with 클로드 길라잡이,https://www.yes24.com/product/goods/190877794,이승우,정보문화사,2026년 06월,"15,120","16,800",10%,402
655,190446025,얄팍한 AI 지식 쌓기,https://www.yes24.com/product/goods/190446025,김도균,ADK FIRST,2026년 05월,"15,120","16,800",10%,144
656,190365713,청소년을 위한 바로 써먹는 필수 AI 활용법,https://www.yes24.com/product/goods/190365713,김환,알파에듀,2026년 06월,"15,120","16,800",10%,"1,353"
657,190278099,초보도 바로 되는 AI 콘텐츠,https://www.yes24.com/product/goods/190278099,"이도혜, 김인호, 문정수, 바울, 육화영 저 외 7명
                                        
정보 더 보기/감추기



이도혜
김인호
문정수
바울
육화영
이성열
이수진
이진영
정지연
노수승
배경수
김진선",미디어북,2026년 05월,"20,000","20,000",,942
